ticker,one_year_price_return,one_year_return_percentile,six_month_price_return,six_month_return_percentile,three_month_price_return,three_month_return_percentile,one_month_price_return,one_month_return_percentile,momentum_score,price-to-earnings_ratio,pe_percentile,price-to-book_ratio,pb_percentile,price-to-sales_ratio,ps_percentile,ev/ebitda,ev/ebitda_percentile,ev/gp,ev/gp_percentile,value_score,stock_price,market_capitalization,number_of_share_to_buy,price,shares_to_buy
JNJ,,,,,,,,,,,,,,,,,,,,,172.6,443711506129.0,16.0,,
JNPR,,,,,,,,,,,,,,,,,,,,,27.44,9056423656.0,105.0,,
JPM,,,,,,,,,,,,,,,,,,,,,162.6,490737127961.0,17.0,,
K,,,,,,,,,,,,,,,,,,,,,64.55,22128677964.0,44.0,,
KEY,,,,,,,,,,,,,,,,,,,,,21.66,21052714365.0,133.0,,
KEYS,,,,,,,,,,,,,,,,,,,,,158.36,29076353554.0,18.0,,
KHC,,,,,,,,,,,,,,,,,,,,,40.99,51472476500.0,70.0,,
KIM,,,,,,,,,,,,,,,,,,,,,21.3,9411206008.0,135.0,,
KLAC,,,,,,,,,,,,,,,,,,,,,326.89,49103020392.0,8.0,,
KMB,,,,,,,,,,,,,,,,,,,,,139.87,46420115839.0,20.0,,
KMI,,,,,,,,,,,,,,,,,,,,,18.61,42576794516.0,155.0,,
KMX,,,,,,,,,,,,,,,,,,,,,134.59,22030448551.0,21.0,,
KO,,,,,,,,,,,,,,,,,,,,,55.31,244637527006.0,52.0,,
KR,,,,,,,,,,20.53,0.364,3.2,0.43799999999999994,0.22,0.012,8.06,0.115,1.39,0.048,19.5,39.61,29433845768.0,72.0,39.78,60852.0
KSS,,,,,,,,,,22.4,0.41,1.75,0.24,0.51,0.03,7.16,0.081,1.57,0.055,16.3,57.38,8899841462.0,50.0,56.95,42506.0
KSU,,,,,,,,,,,,,,,,,,,,,286.21,26923539401.0,10.0,,
L,,,,,,,,,,-409.9,0.004,0.88,0.099,1.04,0.099,8.29,0.135,1.02,0.027999999999999997,7.3,56.31,15045848668.0,51.0,56.64,42738.0
LB,3.9886,1.0,1.005,0.996,0.2022,0.9208,0.0418,0.7703,92.18,14.81,0.25,-38.67,0.013999999999999999,1.57,0.2,7.67,0.099,3.9,0.196,15.2,75.64,20513826679.0,38.0,76.99,1050.0
LDOS,,,,,,,,,,,,,,,,,,,,,104.43,14786901912.0,27.0,,
LEG,,,,,,,,,,,,,,,,,,,,,52.7,6847514043.0,54.0,,
LEN,,,,,,,,,,,,,,,,,,,,,106.86,31287083831.0,26.0,,
LH,,,,,,,,,,,,,,,,,,,,,288.81,27388213858.0,9.0,,
LHX,,,,,,,,,,,,,,,,,,,,,226.47,45275294729.0,12.0,,
LIN,,,,,,,,,,,,,,,,,,,,,294.14,155959636747.0,9.0,,
LKQ,,,,,,,,,,,,,,,,,,,,,49.96,15455209074.0,57.0,,
LLY,0.4521,0.4911,0.39189999999999997,0.8772,0.25370000000000004,0.9723,0.1707,0.9861,83.17,,,,,,,,,,,,232.32,222236704041.0,12.0,241.94,334.0
LMT,,,,,,,,,,,,,,,,,,,,,383.14,108022293670.0,7.0,,
LNC,,,,,,,,,,19.16,0.335,0.64,0.08900000000000001,0.69,0.051,16.11,0.473,0.68,0.016,19.3,66.91,12706718688.0,43.0,65.04,37218.0
LNT,,,,,,,,,,,,,,,,,,,,,57.87,14453340012.0,49.0,,
LOW,,,,,,,,,,,,,,,,,,,,,196.18,143663015631.0,14.0,,
LRCX,,,,,,,,,,,,,,,,,,,,,659.56,93572907309.0,4.0,,
LUV,,,,,,,,,,,,,,,,,,,,,55.98,33231186589.0,51.0,,
LVS,,,,,,,,,,,,,,,,,,,,,53.17,41544285312.0,54.0,,
